Id,Dataset,Classifier,Measure,Type,Mean,Std
8,new-thyroid,CART,F1-score,Standard,0.8683571428571429,0.15393415818683434
9,new-thyroid,CART,F1-score,Normalized,0.9752422839506173,0.09954421271627652
8,new-thyroid,CART,MCC,Standard,0.857928369087294,0.15946668486824672
9,new-thyroid,CART,MCC,Normalized,0.9822577160493826,0.05404114512187613
8,new-thyroid,CART,Precision,Standard,0.8988333333333333,0.1635925663891174
9,new-thyroid,CART,Precision,Normalized,0.9766157407407409,0.09818944569234705
8,new-thyroid,CART,Accuracy,Standard,0.9603549783549784,0.039745761627649444
9,new-thyroid,CART,Accuracy,Normalized,0.9875524691358027,0.020660407375873602
8,new-thyroid,RF,G-mean,Standard,0.9434867248824272,0.09321485461533312
9,new-thyroid,RF,G-mean,Normalized,0.9775524691358025,0.05024826633526514
8,new-thyroid,RF,Kappa,Standard,0.9229172354878048,0.1189005376920498
9,new-thyroid,RF,Kappa,Normalized,0.9935972222222224,0.01488596109285965
8,new-thyroid,RF,Bal. acc.,Standard,0.9494281045751634,0.08046771815614605
9,new-thyroid,RF,Bal. acc.,Normalized,0.9808456790123457,0.03969801918837471
8,new-thyroid,RF,Recall,Standard,0.9016666666666667,0.1621813114319211
9,new-thyroid,RF,Recall,Normalized,0.9016666666666667,0.1621813114319211
8,new-thyroid,RF,F1-score,Standard,0.9328253968253968,0.10595327388007304
9,new-thyroid,RF,F1-score,Normalized,0.9924891975308641,0.019983096792701063
8,new-thyroid,RF,MCC,Standard,0.9303534557988258,0.10498911042446708
9,new-thyroid,RF,MCC,Normalized,0.9944814814814813,0.012022667111033817
8,new-thyroid,RF,Precision,Standard,0.9884999999999999,0.050425687898133814
9,new-thyroid,RF,Precision,Normalized,0.9984444444444445,0.006835102149871417
8,new-thyroid,RF,Accuracy,Standard,0.9818138528138527,0.02629300848722543
9,new-thyroid,RF,Accuracy,Normalized,0.9957530864197532,0.007447917775811208
8,new-thyroid,LR,G-mean,Standard,0.9451997013032589,0.09665724336771611
9,new-thyroid,LR,G-mean,Normalized,0.9770864197530865,0.056686783157076884
8,new-thyroid,LR,Kappa,Standard,0.9204634527567661,0.12707416261461585
9,new-thyroid,LR,Kappa,Normalized,0.9928302469135802,0.01737848129665022
8,new-thyroid,LR,Bal. acc.,Standard,0.9512336601307189,0.08208143455578448
9,new-thyroid,LR,Bal. acc.,Normalized,0.9807453703703704,0.043981529429256955
8,new-thyroid,LR,Recall,Standard,0.9075,0.16452583383772895
9,new-thyroid,LR,Recall,Normalized,0.9075,0.16452583383772895
8,new-thyroid,LR,F1-score,Standard,0.9311746031746033,0.11314850207712787
9,new-thyroid,LR,F1-score,Normalized,0.9914598765432098,0.023588145653670053
8,new-thyroid,LR,MCC,Standard,0.927825670127404,0.11246112518418164
9,new-thyroid,LR,MCC,Normalized,0.9937654320987654,0.014137638702236962
8,new-thyroid,LR,Precision,Standard,0.9795,0.06561059365681733
9,new-thyroid,LR,Precision,Normalized,0.9972314814814816,0.008881164660892282
8,new-thyroid,LR,Accuracy,Standard,0.9804891774891776,0.028774221608301086
9,new-thyroid,LR,Accuracy,Normalized,0.9951049382716051,0.008899199909578137
10,arcene,kNN,G-mean,Standard,0.8184845452703864,0.08403073028150648
11,arcene,kNN,G-mean,Normalized,0.925346524808591,0.05728282618757295
10,arcene,kNN,Kappa,Standard,0.6406466493254379,0.16329917298762808
11,arcene,kNN,Kappa,Normalized,0.9209555533459282,0.062113250515670564
10,arcene,kNN,Bal. acc.,Standard,0.8232765151515151,0.0819735854532266
11,arcene,kNN,Bal. acc.,Normalized,0.9221547181067912,0.06225692498452674
10,arcene,kNN,Recall,Standard,0.8429166666666668,0.12161615833899621
11,arcene,kNN,Recall,Normalized,0.8419101123595507,0.12227336757086167
10,arcene,kNN,F1-score,Standard,0.8051688200860028,0.08902504929167582
11,arcene,kNN,F1-score,Normalized,0.9198319578403102,0.06738646212590022
10,arcene,kNN,MCC,Standard,0.6514258006037378,0.16279458896331397
11,arcene,kNN,MCC,Normalized,0.9168827682211395,0.06787816473126589
10,arcene,kNN,Precision,Standard,0.7826397768897769,0.10588887543392311
11,arcene,kNN,Precision,Normalized,0.879376553644228,0.06947368710887024
10,arcene,kNN,Accuracy,Standard,0.8211040100250625,0.08173506249164007
11,arcene,kNN,Accuracy,Normalized,0.9204742965098938,0.06307412047191682
10,arcene,SVM,G-mean,Standard,0.7676353378884561,0.09516667008771007
11,arcene,SVM,G-mean,Normalized,0.8862115939146864,0.08072479786320999
10,arcene,SVM,Kappa,Standard,0.5595988741199818,0.17464629190690542
11,arcene,SVM,Kappa,Normalized,0.8867008054091677,0.08127076592655667
10,arcene,SVM,Bal. acc.,Standard,0.7777777777777776,0.08771459284799737
11,arcene,SVM,Bal. acc.,Normalized,0.8837536044546087,0.08231486303940092
10,arcene,SVM,Recall,Standard,0.7147222222222221,0.15588284022477653
11,arcene,SVM,Recall,Normalized,0.7132584269662924,0.15600167680594618
10,arcene,SVM,F1-score,Standard,0.7402310899454863,0.11213132396914592
11,arcene,SVM,F1-score,Normalized,0.8592482847767724,0.11777245699958717
10,arcene,SVM,MCC,Standard,0.5724603352813512,0.17485880732366518
11,arcene,SVM,MCC,Normalized,0.8811047031918067,0.08693021465087429
10,arcene,SVM,Precision,Standard,0.7919250471750473,0.1205165257599096
11,arcene,SVM,Precision,Normalized,0.8827582778164462,0.08118124220237838
10,arcene,SVM,Accuracy,Standard,0.7852030075187969,0.08464128861120598
11,arcene,SVM,Accuracy,Normalized,0.8908402107984488,0.07685266033988511
10,arcene,NB,G-mean,Standard,0.5116490524202194,0.12757355316544253
11,arcene,NB,G-mean,Normalized,0.6042348612906432,0.16889645088665017
10,arcene,NB,Kappa,Standard,0.06731154330650341,0.23636746792126154
11,arcene,NB,Kappa,Normalized,0.5570836233469226,0.192791813155478
10,arcene,NB,Bal. acc.,Standard,0.5333459595959597,0.11771893955943044
11,arcene,NB,Bal. acc.,Normalized,0.5566202644923934,0.190216056119734
10,arcene,NB,Recall,Standard,0.4397222222222221,0.16663448763427036
11,arcene,NB,Recall,Normalized,0.44168539325842704,0.16419644381839008
10,arcene,NB,F1-score,Standard,0.4528587484926494,0.14622545795044184
11,arcene,NB,F1-score,Normalized,0.4951476583474198,0.1918316809038429
10,arcene,NB,MCC,Standard,0.06917175405592198,0.2416923785754613
11,arcene,NB,MCC,Normalized,0.5527373968380231,0.1792260965496453
10,arcene,NB,Precision,Standard,0.48448556998557,0.14939549380594888
11,arcene,NB,Precision,Normalized,0.56006960326141,0.20620000123679247
10,arcene,NB,Accuracy,Standard,0.5449360902255639,0.11692322443701535
11,arcene,NB,Accuracy,Normalized,0.5766868847568858,0.18503129776430166
10,arcene,GBM,G-mean,Standard,0.8269774751256738,0.09537542200683162
11,arcene,GBM,G-mean,Normalized,0.9277140300288358,0.06638106766629524
10,arcene,GBM,Kappa,Standard,0.6681071932132369,0.17955797551722355
11,arcene,GBM,Kappa,Normalized,0.9276712737396838,0.06670714675731591
10,arcene,GBM,Bal. acc.,Standard,0.8334659090909091,0.08994217371442481
11,arcene,GBM,Bal. acc.,Normalized,0.9265118822710551,0.06790773283376865
10,arcene,GBM,Recall,Standard,0.8054166666666666,0.1422712453487577
11,arcene,GBM,Recall,Normalized,0.8043820224719102,0.14239191565618056
10,arcene,GBM,F1-score,Standard,0.8104724060096586,0.10703275966272245
